Disgusted,Angry,Surprised,Sad,Happy,Neutral,Fear
Bom Diggy Diggy,Jo bheji thi dua,Chahun Main Ya Na,Bandeya,Baari,Agar Tum Saath Ho,Fight Back
Mumma ki Parchai,Har Kisi Ko Nhi Milta,Titli: Live Version,Banjara,Darasal,Bolna,Masoomiat
Mera viah krwaun nu jee krda,Kabira,Ghar se nikalte hi,Dekha Hazaron Dafa,Gabbroo: Jassi Gill,Humdard,Asi Gabru Punjabi
Kala shah kala,Kar Har Maidan Fateh,Gazab ka hai ye din,Naina: Dangal,Gilherian,Humsafar,Joker
Na muh chupa ko jiyo,Mann Bharrya,Ilahi,Sapna: Arijit ,Hum Mar Jaayenge,Raabta,Goosebumps
Kurta Pajama Kala,Jogi Mahi,Raat Bhar,Tera Yaar Hoon Main,Viah,Sab Tera,Sun rah haina tu
Saath dene ka wada kia hai,Ude jab jab julfein teri,Sohnea: Miss Pooja,Zaroorat,Muskurane,Rakhi krdi kanka di,Kabira
Ki banu dunia da,Sajde,Ye Aina,Challa: Gurdaas Mann,Thodi Der,Mai Pal Do Pal Ka Shayar Hu,Hum Mar Jaayenge
Jugni Kehndi Aa,Kyu Main Jagoon,Challa: Rabbi,Dulhe ka sehra,Zehnaseeb,Aa lekar chle tujhe,Sab Tera
,Mirza,Achytum Keshavam,Waqt ki Batein,Kothhe te aa mayiyya,Mittr Pyaare Nu,Dangal
,Likh dia apne dar pe kisi ne,Ye tune kya kia,Abhi mujh mein kahin,Leekan,Dil di dua,
,Sun rah haina tu,Chaap Tilak Sb Cheeni,Allah Warian,Billo Rani,Sauda Ikko Jeha,
,Main Jahan Rahoon,Mere Nishaan Hai kahan,Sun charkhe di mitthi mithhi kook,Main hoon Na,Sikh chajj koi yr manawan da,
,,Siabo,Barson ke Intezaar ,Mera piya ghar aya,Masoomiat,
,,Hawayein,Joker,Sawaar loon,Asi Gabru Punjabi,
,,,Kyo Kisi ko,Ikko Mikke,,
,,,,Moh moh ke dhaage,,
